meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
10 ,888074 ,163085 ,37156 ,43020 ,37156 ,63681 ,45537 ,58706 ,1 
12 ,968158 ,189338 ,39860 ,44800 ,39860 ,64368 ,47616 ,59312 ,1 
15 ,1023557 ,220629 ,37650 ,48448 ,37650 ,66410 ,47933 ,58930 ,1 
18 ,838494 ,148213 ,26023 ,25020 ,26023 ,28041 ,9565 ,4645 ,1 
21 ,1217883 ,125732 ,11962 ,17469 ,11962 ,12562 ,6348 ,2365 ,1 
21 ,1083829 ,140488 ,13116 ,18455 ,13116 ,13745 ,6896 ,2520 ,1 
21 ,1129753 ,119452 ,11523 ,17092 ,11523 ,13429 ,4897 ,1981 ,1 
23 ,818853 ,117584 ,32130 ,18393 ,32130 ,11153 ,6611 ,3329 ,1 
27 ,943527 ,122507 ,42062 ,20508 ,42062 ,11230 ,7686 ,3559 ,1 
32 ,555503 ,87185 ,39136 ,14877 ,39136 ,5638 ,5090 ,2809 ,1 
37 ,740642 ,93421 ,46535 ,19753 ,46535 ,10696 ,9211 ,4416 ,1 
43 ,794014 ,106674 ,47914 ,22405 ,47914 ,11507 ,10861 ,6460 ,1 
45 ,1052626 ,73243 ,24690 ,15303 ,24690 ,10815 ,9116 ,7249 ,1 
39 ,896956 ,80565 ,14423 ,13287 ,14423 ,10656 ,8224 ,6995 ,1 
34 ,816566 ,81149 ,14794 ,14213 ,14794 ,10784 ,8425 ,7024 ,1 
27 ,693897 ,78444 ,7446 ,9263 ,7446 ,4892 ,3964 ,5477 ,1 
20 ,517283 ,63481 ,5684 ,7164 ,5684 ,4120 ,3534 ,3799 ,1 
19 ,250297 ,53376 ,9730 ,9798 ,9730 ,3319 ,3002 ,2258 ,1 
23 ,444075 ,45811 ,13179 ,11851 ,13179 ,3550 ,3233 ,2497 ,1 
28 ,368250 ,45601 ,12819 ,9988 ,12819 ,3190 ,3017 ,2351 ,1 
32 ,344501 ,65649 ,13412 ,10971 ,13412 ,4313 ,3182 ,2881 ,1 
32 ,385044 ,62940 ,12679 ,9983 ,12679 ,4090 ,1877 ,2497 ,1 
28 ,419790 ,60318 ,7667 ,7256 ,7667 ,3121 ,1461 ,1712 ,1 
25 ,275082 ,73650 ,14458 ,6612 ,14458 ,3604 ,1633 ,1774 ,1 
25 ,283079 ,73853 ,14607 ,7186 ,14607 ,3710 ,1601 ,1595 ,1 
24 ,278540 ,182033 ,29557 ,5558 ,29557 ,5267 ,5669 ,2641 ,1 
29 ,281747 ,179388 ,29576 ,5471 ,29576 ,4941 ,5600 ,2541 ,1 
34 ,540431 ,184892 ,34152 ,5129 ,34152 ,5171 ,5688 ,2581 ,1 
36 ,723410 ,194049 ,30862 ,7847 ,30862 ,5061 ,5477 ,2916 ,1 
37 ,719258 ,193172 ,31151 ,8365 ,31151 ,5240 ,5588 ,3030 ,1 
41 ,647792 ,57477 ,15142 ,11249 ,15142 ,2770 ,1763 ,2027 ,1 
40 ,666494 ,77749 ,15998 ,14490 ,15998 ,3258 ,2057 ,2324 ,1 
39 ,357409 ,64646 ,11119 ,13746 ,11119 ,3822 ,2701 ,2881 ,1 
39 ,127982 ,42857 ,6555 ,11510 ,6555 ,4375 ,2706 ,2555 ,1 
43 ,188882 ,45449 ,8365 ,15420 ,8365 ,4422 ,3103 ,2593 ,1 
46 ,177415 ,36724 ,10351 ,16150 ,10351 ,4829 ,2700 ,2168 ,1 
50 ,182307 ,28406 ,12045 ,14823 ,12045 ,6057 ,4065 ,2294 ,1 
54 ,288800 ,45838 ,17964 ,17490 ,17964 ,7086 ,3979 ,2034 ,1 
56 ,326110 ,45408 ,19629 ,18418 ,19629 ,7416 ,3952 ,2334 ,1 
54 ,254666 ,44159 ,18192 ,16475 ,18192 ,8098 ,3789 ,2525 ,1 
51 ,262182 ,49264 ,18588 ,13248 ,18588 ,8052 ,4186 ,3107 ,1 
49 ,252564 ,45939 ,16988 ,12802 ,16988 ,7789 ,3792 ,3679 ,1 
46 ,147493 ,31687 ,11217 ,11249 ,11217 ,6506 ,3492 ,3544 ,1 
43 ,121391 ,38561 ,10151 ,9639 ,10151 ,6763 ,4015 ,3490 ,1 
42 ,214554 ,44602 ,11666 ,14570 ,11666 ,6932 ,4384 ,4367 ,1 
39 ,226354 ,55247 ,9872 ,15193 ,9872 ,6189 ,3979 ,3457 ,1 
36 ,191374 ,60886 ,10222 ,15316 ,10222 ,6030 ,4219 ,3225 ,1 
33 ,282107 ,113500 ,17373 ,14870 ,17373 ,6500 ,5574 ,3896 ,1 
28 ,398800 ,129640 ,15736 ,15376 ,15736 ,5765 ,7382 ,4169 ,1 
20 ,483290 ,187836 ,14454 ,10829 ,14454 ,8424 ,9979 ,7509 ,1 
13 ,588495 ,194916 ,16224 ,10521 ,16224 ,9581 ,10385 ,8941 ,1 
11 ,618501 ,186102 ,21679 ,10291 ,21679 ,8930 ,9666 ,8850 ,1 
7 ,656022 ,306486 ,17414 ,13309 ,17414 ,11043 ,10457 ,9402 ,1 
10 ,732028 ,282733 ,18809 ,11177 ,18809 ,10172 ,7843 ,8755 ,1 
16 ,683357 ,226949 ,20078 ,17717 ,20078 ,7259 ,6042 ,4692 ,1 
22 ,586219 ,213656 ,19948 ,23285 ,19948 ,7612 ,6535 ,4481 ,1 
30 ,662225 ,218416 ,18379 ,27417 ,18379 ,8300 ,6270 ,4310 ,1 
42 ,550235 ,46383 ,17781 ,36357 ,17781 ,6220 ,4464 ,3401 ,1 
50 ,360114 ,45984 ,15182 ,38847 ,15182 ,6014 ,4753 ,3610 ,1 
55 ,274403 ,52469 ,21670 ,38542 ,21670 ,7324 ,3815 ,3448 ,1 
59 ,249775 ,46128 ,18808 ,32248 ,18808 ,5958 ,2831 ,2162 ,1 
54 ,142908 ,41742 ,14087 ,27195 ,14087 ,5065 ,2770 ,2030 ,1 
47 ,219566 ,83487 ,29134 ,17732 ,29134 ,6481 ,4117 ,5814 ,1 
40 ,269296 ,79384 ,29152 ,15378 ,29152 ,6284 ,4048 ,5639 ,1 
36 ,410848 ,104382 ,27947 ,33281 ,27947 ,23601 ,8779 ,16508 ,1 
33 ,494564 ,125118 ,28016 ,35590 ,28016 ,24451 ,9533 ,17401 ,1 
34 ,483374 ,120989 ,27750 ,36052 ,27750 ,24159 ,9170 ,17105 ,1 
35 ,399548 ,75068 ,9681 ,32905 ,9681 ,21495 ,7062 ,12732 ,1 
34 ,376820 ,84605 ,10009 ,33001 ,10009 ,21610 ,6880 ,12610 ,1 
32 ,209415 ,44315 ,3278 ,5847 ,3278 ,2413 ,1674 ,1508 ,1 
30 ,269107 ,24207 ,4386 ,4264 ,4386 ,3916 ,1260 ,1566 ,1 
26 ,282546 ,32895 ,5310 ,4225 ,5310 ,4692 ,1499 ,2288 ,1 
25 ,276561 ,35382 ,6761 ,3945 ,6761 ,5057 ,1688 ,2577 ,1 
27 ,530290 ,40818 ,8935 ,4548 ,8935 ,5924 ,2132 ,2963 ,1 
28 ,531689 ,52017 ,12268 ,7970 ,12268 ,5977 ,2601 ,3157 ,1 
31 ,461680 ,79480 ,19158 ,14227 ,19158 ,7352 ,3820 ,2710 ,1 
33 ,759117 ,153710 ,18830 ,30257 ,18830 ,13622 ,6980 ,2391 ,1 
35 ,1170912 ,162388 ,18715 ,38078 ,18715 ,14473 ,8860 ,3374 ,1 
37 ,876187 ,152562 ,16962 ,40855 ,16962 ,13803 ,8685 ,2935 ,1 
39 ,889780 ,139793 ,13235 ,39632 ,13235 ,13577 ,8252 ,2845 ,1 
44 ,814208 ,119685 ,10001 ,39402 ,10001 ,11476 ,7940 ,2657 ,1 
49 ,716488 ,47544 ,11253 ,24578 ,11253 ,7124 ,5165 ,2723 ,1 
51 ,298556 ,36294 ,9864 ,16746 ,9864 ,5953 ,3167 ,1393 ,1 
48 ,297946 ,32908 ,9041 ,14486 ,9041 ,6122 ,3087 ,1597 ,1 
46 ,258132 ,32214 ,10993 ,12106 ,10993 ,6906 ,3992 ,1771 ,1 
42 ,255469 ,20897 ,6197 ,5632 ,6197 ,4985 ,2663 ,1450 ,1 
42 ,47580 ,10113 ,4744 ,4662 ,4744 ,2391 ,1993 ,938 ,1 
41 ,47503 ,28135 ,5706 ,11349 ,5706 ,3429 ,2497 ,1351 ,1 
44 ,45653 ,28320 ,7791 ,10982 ,7791 ,4456 ,3251 ,1617 ,1 
44 ,49490 ,40405 ,8632 ,11517 ,8632 ,5447 ,2668 ,1613 ,1 
44 ,44014 ,37923 ,9568 ,11528 ,9568 ,6389 ,3272 ,1805 ,1 
40 ,31500 ,44276 ,11542 ,12622 ,11542 ,6718 ,4011 ,2148 ,1 
36 ,155481 ,130769 ,12702 ,10880 ,12702 ,8363 ,4818 ,3186 ,1 
31 ,303927 ,143433 ,11554 ,12821 ,11554 ,7777 ,4511 ,3808 ,1 
30 ,330867 ,134635 ,10807 ,32262 ,10807 ,6591 ,4977 ,4079 ,1 
28 ,345963 ,137917 ,10165 ,31427 ,10165 ,5910 ,4331 ,3931 ,1 
29 ,348837 ,133886 ,10137 ,29475 ,10137 ,6347 ,3939 ,3895 ,1 
35 ,224145 ,32536 ,8627 ,25903 ,8627 ,4079 ,2984 ,2638 ,1 
38 ,73630 ,18486 ,7698 ,23860 ,7698 ,3616 ,2665 ,1757 ,1 
38 ,53669 ,18290 ,5143 ,3670 ,5143 ,2945 ,1762 ,1175 ,1 
41 ,53125 ,15901 ,6268 ,4507 ,6268 ,3268 ,2561 ,1543 ,1 
41 ,40330 ,12713 ,5501 ,4793 ,5501 ,3060 ,2535 ,1535 ,1 
42 ,36152 ,10738 ,6921 ,5440 ,6921 ,3176 ,2337 ,1500 ,1 
45 ,106639 ,21149 ,8941 ,5684 ,8941 ,4306 ,2212 ,1477 ,1 
49 ,136544 ,23254 ,10451 ,15200 ,10451 ,6048 ,2702 ,1663 ,1 
53 ,140421 ,28763 ,10903 ,21768 ,10903 ,6078 ,2182 ,1540 ,1 
56 ,156407 ,30468 ,12544 ,28617 ,12544 ,6465 ,2084 ,1542 ,1 
62 ,163969 ,33787 ,11860 ,37163 ,11860 ,6700 ,2174 ,2092 ,1 
66 ,119640 ,30496 ,11076 ,45913 ,11076 ,5647 ,3025 ,2728 ,1 
68 ,96475 ,28538 ,9378 ,37712 ,9378 ,3924 ,2665 ,2573 ,1 
66 ,121628 ,28454 ,8728 ,31420 ,8728 ,3728 ,2419 ,2287 ,1 
64 ,112998 ,29525 ,12029 ,26998 ,12029 ,3997 ,2580 ,2393 ,1 
57 ,318850 ,39917 ,14866 ,23082 ,14866 ,5769 ,2771 ,1954 ,1 
50 ,320680 ,59482 ,15760 ,15164 ,15760 ,5776 ,2503 ,1257 ,1 
45 ,305791 ,59746 ,17648 ,14187 ,17648 ,6157 ,2407 ,1333 ,1 
42 ,270932 ,61850 ,20944 ,14906 ,20944 ,6497 ,3198 ,1551 ,1 
37 ,274507 ,64076 ,14396 ,12605 ,14396 ,6472 ,3091 ,1416 ,1 
36 ,69590 ,56023 ,13943 ,8214 ,13943 ,4433 ,3143 ,1433 ,1 
33 ,46671 ,40775 ,11392 ,6883 ,11392 ,4007 ,2336 ,1353 ,1 
30 ,107717 ,48836 ,17827 ,13025 ,17827 ,5442 ,2818 ,1754 ,1 
33 ,106603 ,41331 ,21054 ,13953 ,21054 ,5778 ,2806 ,2079 ,1 
41 ,147277 ,50766 ,24127 ,18341 ,24127 ,5340 ,3451 ,2059 ,1 
45 ,365253 ,67922 ,28006 ,24356 ,28006 ,7005 ,3308 ,2207 ,1 
49 ,375004 ,58686 ,29983 ,24057 ,29983 ,7045 ,3250 ,2137 ,1 
49 ,356891 ,87676 ,22546 ,20563 ,22546 ,5826 ,2947 ,2174 ,1 
44 ,371277 ,101356 ,17753 ,18700 ,17753 ,5349 ,3042 ,2191 ,1 
36 ,391714 ,91813 ,15977 ,13780 ,15977 ,4642 ,2909 ,2172 ,1 
30 ,208112 ,83517 ,12577 ,17857 ,12577 ,2892 ,3172 ,2499 ,1 
29 ,207182 ,97455 ,14731 ,22035 ,14731 ,3195 ,3926 ,3193 ,1 
32 ,163834 ,57441 ,14390 ,19720 ,14390 ,3054 ,3940 ,3101 ,1 
36 ,158212 ,51705 ,19683 ,19797 ,19683 ,4593 ,4413 ,3343 ,1 
41 ,112536 ,55427 ,21518 ,23606 ,21518 ,4828 ,4597 ,3273 ,1 
42 ,83516 ,45133 ,17611 ,11036 ,17611 ,4319 ,4065 ,2511 ,1 
40 ,74837 ,29663 ,14290 ,7767 ,14290 ,4774 ,3478 ,2089 ,1 
36 ,84554 ,31093 ,14169 ,6976 ,14169 ,4218 ,3209 ,1619 ,1 
34 ,67721 ,22731 ,6405 ,8018 ,6405 ,3031 ,2098 ,1003 ,1 
37 ,52802 ,14437 ,9398 ,4098 ,9398 ,3354 ,1545 ,1067 ,1 
41 ,38318 ,9737 ,9455 ,4337 ,9455 ,4147 ,1623 ,1287 ,1 
47 ,30852 ,11572 ,9159 ,4337 ,9159 ,3829 ,1680 ,1252 ,1 
53 ,17267 ,10124 ,10338 ,4781 ,10338 ,4234 ,1897 ,1747 ,1 
52 ,19630 ,12964 ,10114 ,4510 ,10114 ,3644 ,1881 ,2064 ,1 
46 ,33333 ,15738 ,3912 ,4361 ,3912 ,2837 ,1441 ,1866 ,1 
40 ,38691 ,14862 ,3647 ,4353 ,3647 ,3075 ,1355 ,1742 ,1 
32 ,42177 ,15291 ,4692 ,3098 ,4692 ,3040 ,1297 ,1819 ,1 
24 ,61008 ,31528 ,7372 ,3265 ,7372 ,2961 ,1278 ,1507 ,1 
22 ,59218 ,28208 ,7462 ,2815 ,7462 ,2839 ,1002 ,1134 ,1 
24 ,38259 ,26570 ,8210 ,4135 ,8210 ,3456 ,1194 ,1284 ,1 
29 ,35069 ,28872 ,8806 ,5100 ,8806 ,2827 ,1170 ,1501 ,1 
36 ,32349 ,27447 ,8379 ,5713 ,8379 ,2479 ,972 ,1276 ,1 
43 ,14233 ,12365 ,4283 ,6589 ,4283 ,2813 ,881 ,1346 ,1 
46 ,42957 ,25816 ,7367 ,9154 ,7367 ,2944 ,1181 ,1433 ,1 
47 ,40457 ,24868 ,7620 ,9530 ,7620 ,2583 ,1239 ,1406 ,1 
46 ,69874 ,32341 ,8860 ,9676 ,8860 ,2445 ,1458 ,1255 ,1 
46 ,74121 ,31577 ,8493 ,9743 ,8493 ,2761 ,1750 ,1214 ,1 
43 ,79269 ,41742 ,8876 ,8675 ,8876 ,3118 ,2033 ,1269 ,1 
39 ,297544 ,47315 ,9886 ,8508 ,9886 ,3756 ,9385 ,2449 ,1 
34 ,320839 ,50194 ,9739 ,9096 ,9739 ,4644 ,10406 ,3403 ,1 
30 ,311725 ,50053 ,7881 ,9409 ,7881 ,5649 ,11009 ,4914 ,1 
28 ,336838 ,51649 ,12862 ,13080 ,12862 ,9489 ,18399 ,9064 ,1 
28 ,586804 ,96508 ,19484 ,15047 ,19484 ,28388 ,28767 ,11453 ,1 