delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention
1051020,222594,12416,22636,12151,5220,2259,1163,21
1059671,169860,62813,6316,24913,9857,5248,5087,26
335265,199340,41774,22985,16070,15628,2409,3689,37
72995,173969,13309,9817,29758,6909,3288,4525,53
366325,71385,13372,5956,8870,9680,3072,2502,70
834779,102301,47954,15799,22975,7516,2365,3752,74
237284,17195,5601,8358,7728,2494,501,306,74
802117,443079,269531,385455,312959,248463,72765,20192,81
161935,133356,78538,14967,9844,6423,3526,1165,77
419234,40529,8901,8067,10789,3935,1465,449,87
386069,113450,12452,10088,4230,3773,7327,4715,75
574348,116667,19909,6025,11225,5240,1659,2761,56
81853,99557,7978,5113,599,966,576,190,43
63693,146617,64915,11018,22068,4459,6001,4281,29
23729,52698,17085,5519,1958,10830,3210,2305,48
1361715,311105,139810,57518,16438,12298,3391,3314,43
313600,6351,3158,1786,604,919,405,157,67
205126,41512,31544,13355,10349,11515,4513,1333,88
40965,27193,8315,19352,6579,5753,3156,1753,84
17746,31659,838,4424,5120,3170,3791,1950,97
17414,33636,9241,6186,3645,3923,5286,1865,100
13969,19521,8510,13118,8147,3255,3550,2367,93
43823,24808,11424,6302,8186,8462,2329,1349,100
40394,19976,5741,7351,18288,2267,3348,2910,97
32155,12652,3122,3575,4865,12057,3195,767,100
13509,8184,8714,3633,3476,2922,1761,1199,100
50980,19035,7387,9901,11381,4802,2085,1314,93
18763,44515,19211,8678,1448,1736,1478,421,78
133707,62689,45181,19473,15500,12117,5499,4671,60
88210,31496,16732,21936,7247,6451,4034,2505,54
41439,23614,3259,981,8122,6671,3273,1617,77
31543,28003,13354,14052,5475,5360,1970,1918,77
54843,113204,42937,4328,5351,8894,6563,1979,70
31076,47635,17365,56109,8088,7836,2810,1039,69
14276,6761,15538,2241,1144,6863,5950,1195,70
30252,10201,5990,4507,5236,6743,2089,2104,81
456397,17169,4833,6367,11263,7556,7601,3256,94
21752,22299,1864,10297,4279,3767,1323,1395,97
229969,28733,6542,6166,2206,1725,612,974,81
67763,14122,34898,4613,5254,10186,4380,3296,77
2608,43444,6817,11474,11874,5710,1730,1375,66
648296,68808,10382,3542,4978,7150,6362,3344,64
689553,92736,14703,10373,10801,5691,3083,4058,66
10761,40831,2121,1476,3977,6726,1944,1217,60
207580,80856,23917,32062,11199,5645,4210,1766,57
166864,25156,3007,2609,3862,2633,1078,833,60
136208,154726,19208,7722,17983,9102,4986,2222,57
52609,29111,6568,3417,5857,2409,1149,934,50
14958,60856,19067,19738,7892,6874,4617,1338,54
17731,14035,21351,13137,7700,6329,2327,2699,67
12771,43814,103292,1441,8401,3483,4263,2213,57
32480,40070,9284,8388,5509,4151,1613,3481,60
54982,40151,108168,15834,14137,18914,1983,1459,60
65461,38570,3263,38329,11657,6673,2412,2283,54
230445,58017,18970,8610,6815,6314,3100,3615,66
633220,41880,31995,29568,12960,12455,8632,3974,70
58756,27618,9058,8839,1522,2917,482,636,64
29045,19565,29444,48039,2354,3653,2456,720,57
502567,7368,36184,54846,13900,9817,5517,1338,60
13261,31735,11053,11007,11840,10474,3596,2288,64
15517,66419,9709,9402,9299,3583,5024,2897,60
24452,28514,15942,17968,5161,11420,4292,2506,74
10066,8492,20276,6779,5210,7384,2207,1556,80
33157,30673,6238,5318,10355,10816,3593,4942,83
18344,18856,2558,8234,9993,6461,2059,1490,97
216918,44788,10513,9198,9200,5777,4031,2341,91
240546,123376,13169,22077,10164,8248,8790,2680,70
1969640,34346,7287,26430,9422,4461,1954,550,61
42700,65108,71466,16703,9722,3517,2123,2775,48
486918,19717,33282,28130,12164,13201,6974,3364,53
678137,193360,24967,11853,28926,7184,3942,3366,48
144341,6121,520,238,222,283,63,46,43
265278,89671,6634,9680,3736,8771,4838,4365,56
2649493,374880,13247,7073,12353,15339,14439,3749,43
1238081,36497,10864,6324,4566,2081,2141,476,44
94563,51889,3272,3398,1068,3348,851,255,48
294613,88182,13632,13137,3768,5320,2110,1596,41
37683,12734,16495,6747,9671,6931,2030,656,60
108282,96160,10678,1806,6859,7182,2866,735,61
30296,9299,82697,11687,8452,5471,1373,1251,63
50004,41599,16304,4466,7791,3332,4488,2441,63
16050,22019,18910,9671,15384,2844,3231,2177,51
196003,28943,11124,22298,26192,4522,6646,1956,51
651118,66047,29296,14254,3290,7708,4471,4957,54
73393,11142,27560,7987,2017,7101,3130,3752,63
7922,24764,5835,2749,7557,12685,6588,1019,80
9686,32566,7794,9142,4258,5702,1953,2618,83
909278,345438,15991,33933,53178,9582,5835,3757,69
268000,103994,18353,12303,23319,25190,3660,3694,64
97235,26132,3493,19255,3684,9525,1526,3159,69
36854,25278,8971,1873,9398,11383,4379,2980,80
68638,19085,24128,1512,9330,7458,1432,3890,97
21552,42715,13378,19629,11572,7235,3035,3760,93
27469,30202,13098,23146,8439,6616,1781,1695,84
27189,34701,16904,10401,9352,1848,1985,1272,66
72472,35776,10025,10687,13876,7060,4710,4042,69
15553,12650,8213,4510,4199,4503,5289,1190,60
54999,10555,12131,7770,14203,7228,3578,798,80
15574,6701,19347,13155,8874,7500,4710,1787,83
16774,19145,13392,3809,1948,11718,3368,5220,100
12999,4221,7969,21077,3315,4560,2049,1322,97
48081,13243,6335,10024,4248,4667,4903,2718,93
9776,30568,3927,1854,7882,5944,3117,1177,93
7460,14271,28936,5772,4057,3488,2807,2978,80
30076,22078,5437,5587,5235,8325,2362,2380,87
16967,9655,12152,13619,2954,5103,1363,3786,84
61573,33387,4251,1759,2358,1239,907,641,69
2767,3534,51414,9103,8476,2375,961,1737,63
12146,48501,12434,15124,6870,14280,1636,1128,60
13852,10669,28840,16218,7531,4224,2295,708,54
8249,10677,24952,15677,4773,4587,2888,1280,64
25565,22748,11614,8475,7883,6224,1786,1456,77
91297,17783,20421,7802,7922,4276,3403,1041,70
22390,13327,4806,8778,4910,4269,1795,2657,78
17742,16150,8254,7784,17341,8721,3046,1561,88
14896,18522,35273,2157,4087,3649,1382,1303,81
33582,23830,6679,2917,13996,2992,2260,1608,78
4359,25577,12033,8913,3255,2810,2991,1261,64
25939,22349,28025,12185,8997,4568,1713,1231,64
12198,15247,18734,5760,2949,3857,1468,677,61
9871,28588,42592,25002,8778,4109,2154,1040,56
22844,24366,41743,25861,6504,7037,1965,1355,60
209293,35235,25057,2575,2452,2142,980,386,53
6459,33718,6996,17044,14358,3331,1716,1992,48
6987,29494,5154,1237,3970,2636,3095,2881,51
32364,19394,20674,15688,5113,6156,1893,2593,54
24939,19804,5452,9671,6832,4279,4176,1944,66
20830,27862,11549,9969,2212,4050,1997,794,67
2353,46580,7563,1600,11371,3173,868,1718,64
119288,57745,25527,11394,21761,2473,1670,1449,51
50112,8315,15994,6212,4324,2768,1546,880,48
7000,5806,26798,3666,6647,4585,1394,1244,53
15702,23365,8017,12450,9960,4690,1930,2878,57
27090,26240,1190,6988,2320,3227,3591,1814,63
8410,22197,858,13160,6546,4892,2040,2268,63
421587,186150,14716,18825,16210,3557,3303,1800,47
37788,16588,2108,7279,2675,5578,2721,2221,60
206484,21699,12019,7656,3125,1210,1212,616,50
90114,7421,11172,2343,6706,7374,3011,2585,57
5534,13315,14254,4749,12907,4328,2411,2341,78
224800,23648,481,3895,1789,1514,1641,520,64
48525,15773,9325,2281,8742,7218,4559,1939,84
20775,14571,9375,9440,3545,5004,2024,780,77
316586,94309,14740,21130,7813,9014,2549,1080,70
22636,10865,2444,6403,13296,5554,3294,2419,84
14658,9618,2890,8725,7059,6479,4606,2342,87
64459,47418,1493,3410,4249,2701,2422,1355,78
15691,33094,3752,8083,6340,7224,3681,2825,87
25911,24399,7121,15297,5674,5013,3347,2626,78
101094,61459,6018,846,1347,1549,1717,761,54
5299,9661,11479,2652,3844,1422,1440,1672,56
27524,9336,13478,6205,6506,4608,2490,2280,54
18213,10167,11130,4735,6173,4237,1697,1798,60
17283,26982,2113,5814,4779,4468,2163,1283,75
53814,62007,6935,12515,13752,9607,3036,5295,81
454155,371258,26426,13567,3265,6077,4008,3882,60
18250,5383,8600,4030,7023,5215,1836,2528,64
49325,13961,13216,6380,4326,2370,1930,997,60
2047303,62222,41131,12070,14551,13418,2660,2091,57
292778,80059,2845,4436,3564,4924,1390,611,70
25190,8306,26385,3552,9914,3543,3474,3007,60
11970,22582,3310,3663,6520,7864,1296,1847,74
13114,8870,6437,2990,1288,4580,898,2000,80
13974,17074,10392,5421,10662,9799,4775,1161,93
50963,28197,7343,3076,5148,6678,2559,1687,100
11774,8070,13513,4055,6701,10008,3244,2136,100
10197,28657,9993,1503,9063,4830,3118,2281,96
3152,33681,21978,8133,8905,6128,2799,2219,87
25503,8017,20831,8156,6467,5569,820,1666,83
21997,13935,9418,6754,10137,3165,2270,1392,70
5992,22831,16317,710,9250,3096,3958,1467,67
70059,15419,6460,5876,10068,3220,2251,5056,69
4083,22041,17200,7456,8995,3972,6978,4340,67
13500,9439,9745,11581,11965,3599,2079,2974,70
2879,35839,7180,3237,2018,7165,5567,1515,67
5261,19315,17293,8633,5122,5199,1580,1561,69
4867,17214,1841,8706,7209,4119,4236,3820,74
13197,19470,33478,5321,17268,2194,2299,695,67
150125,7707,3245,3602,11033,3788,1622,1994,74
1650042,108394,26632,2027,4037,3527,1706,570,60
1338080,9549,1891,5905,1019,1176,117,207,51
197410,21411,75406,8279,21870,6281,3247,2865,56
95829,55082,27693,14644,11676,15156,2685,4371,69
90701,13770,7823,3886,1848,5750,2010,1713,81
540687,75242,31843,6999,4556,4931,2848,1688,75
70365,65565,31059,5647,18222,8461,5176,3159,60
447857,144983,171751,18849,17397,33170,11521,10341,53
718133,44865,43423,13838,8513,3545,4055,3691,50
74153,36300,8409,9623,14254,5046,5465,6376,56
14493,30304,3060,8154,14351,11186,2788,5202,66
60568,19408,5398,2081,6734,9553,3818,1372,77
41416,8746,4792,5824,2428,3761,839,753,91
23845,17689,4618,5627,5082,2637,1574,3370,93
98941,30007,45280,20998,4596,3092,3398,2113,75
776818,120744,21704,3927,7468,2282,1002,1627,48
1009241,111552,3343,13688,11637,16941,6364,3724,44
28259,64676,8673,15079,1531,18978,6190,3106,51
226428,388517,14542,62228,110538,51954,9728,9120,61
1555066,103749,33049,34932,7885,8363,9526,2112,74
89383,27667,32977,9622,16594,6548,3291,2470,69
48207,16442,22155,25826,19361,5476,3395,2702,60
131338,142011,32428,20794,23199,11393,17288,4385,54
1776883,94164,23408,24225,22932,9650,19356,17218,57
36100,68006,12320,92370,8935,32486,15399,15788,64
622959,102106,31871,14024,19061,26582,13054,6175,69
644893,76279,13583,35964,24896,15850,14375,8950,77
379942,82998,47289,4443,28262,27361,15670,15956,87
825487,127246,8705,12421,38546,23177,18627,22518,83
2207890,35994,16180,7726,3729,4604,6834,3852,77
822395,143278,74206,43870,24295,36571,20171,22529,78
432629,140349,20535,37152,13257,17285,8458,6835,70
158426,17632,9936,4908,2288,3905,1286,1264,69
33715,48321,12231,11139,5136,5689,3040,2020,69
9266,88556,11361,22506,8673,8028,4882,3512,63
8522,11111,9416,19287,9466,6684,2197,3516,69
24377,14744,5491,13481,5398,7102,1984,6132,74
250871,32843,1125,718,1053,1511,1107,554,67
33160,87311,26574,11501,16593,5293,3842,914,63
16685,14142,13675,7143,8079,6564,3867,1944,63
56730,27948,13095,5656,8060,8499,4650,4028,63
57275,73102,3402,4606,1660,1884,1842,665,57
15405,48271,1423,1050,5979,8268,3053,4457,70
1732228,542320,201870,42335,60909,41405,17307,24956,66
46001,64789,7546,2789,3828,2068,1016,1714,67
11780,2091,5316,4520,4696,5116,2907,3599,77
41058,8014,3888,15611,10243,6065,6093,1368,70
63315,32075,2318,2722,2564,1300,1001,1039,66
10977,4549,6603,5045,9652,4424,3428,1022,87
11289,31122,10616,2591,4287,4204,1729,1286,75
24650,4741,2881,11679,5929,3857,1107,1424,75
27938,4305,2315,7360,3592,2340,2250,828,90
71207,4422,2415,5991,1198,1368,471,336,80
9534,21548,12032,7250,12080,2901,2434,3427,78
401283,240012,7977,12122,8806,3767,3344,1981,53
138468,12170,10208,6303,2872,4421,505,711,51
36603,66779,9141,11782,9542,7786,3161,1479,51
7252,9134,12214,2907,8677,6972,1537,2333,64
38033,27729,4718,21331,4221,10263,2691,3546,70
779436,42984,1504,25663,29084,4533,11462,4651,56
1396264,66132,6267,15201,6804,4316,2407,2270,56
797329,202759,19508,23001,17596,14189,18585,11445,60
510495,59536,27965,47584,38503,16186,10058,7136,54
603973,135843,22972,18649,13863,8354,5211,3824,53
415128,64028,21048,11494,8843,6105,2969,3886,54
90044,7072,2642,2056,2549,761,615,514,54
489143,33043,9117,4716,2792,1205,863,256,43
451038,57737,32134,22894,6872,4818,2753,3570,40
59272,17251,184658,11928,13617,4385,1566,2486,29
2393499,728072,237862,30748,17729,58572,10065,5901,29
341479,40119,4414,2677,1758,1747,1015,459,34
204989,30242,3464,3632,1062,1043,292,173,29
779574,39795,30160,5539,4579,2662,674,1039,34
133234,7583,410,3478,2939,1273,356,222,38
63976,11500,3139,8818,884,993,737,687,40
678564,19208,11960,7439,9207,10193,912,850,60
678303,176070,21518,52687,80546,60844,10525,9770,0
204364,8727,28945,4062,1725,1091,570,722,0
60000,103155,2399,2776,4076,2197,1346,1161,0
184482,42287,4175,16539,9145,7688,5228,3806,69
100953,50207,85276,2050,22906,7303,6985,3328,61
994254,93709,67539,89113,9737,16382,4992,2903,63
220518,22858,21384,13514,6255,8774,3033,3822,57
216943,115117,9098,12498,4242,9389,8363,8892,53
87164,53723,25052,8046,19307,8705,4906,1762,57
144347,46838,18209,10037,8087,11122,4803,5036,64
208640,38593,2407,3219,3534,2051,2288,2512,56
40663,43894,21669,13612,6624,12055,5706,3259,63
582302,157847,15769,18967,15667,9040,15505,3251,56
8203,66697,6342,4639,5787,7877,5259,7360,53
4081,21877,24160,4025,5738,9137,4281,3247,63
2934,33655,21221,9606,11056,9190,2912,8070,63
20386,28387,48816,3925,5493,8316,4312,3527,69
47784,203154,62776,4101,5461,11461,6532,4415,63
80920,140475,108941,16914,7361,8851,2276,2515,48
257481,31086,31222,4551,8354,6373,1844,1726,43
160237,7307,10734,5504,1985,1547,872,702,40
153701,139314,16245,24155,6053,6423,3666,3043,38
168973,100590,16071,5564,9669,4991,3590,2484,41
60844,10138,12482,3418,4572,4904,3290,1087,48
82979,156118,4536,6779,17675,5184,2111,1832,41
70492,34262,47578,3387,15364,5487,1827,2032,44
103035,31750,35365,8455,45685,5150,2567,2641,50
26619,37020,14928,35728,2176,4648,3550,984,40
18514,19846,49417,10627,9705,2441,1065,1849,40
45932,25314,12379,9853,21357,8659,1448,2352,50
4853,4283,16341,6050,3722,4359,2409,873,63
10484,25670,38047,21900,5147,3665,2302,1490,66
41139,25745,25118,17550,13618,4882,3346,604,57
57274,13113,9106,1588,4065,3423,1291,2380,60
253207,4152,6560,2033,2753,1135,825,564,54
16368,14922,7419,12555,14892,6173,2753,4575,66
13282,1496,2687,4428,6761,10058,12207,5066,87
621459,34799,10710,2053,30651,9576,4636,3719,88
1158616,85928,11950,24899,29635,16965,9984,6420,90
491929,19987,10677,6888,23421,2532,1123,2753,80
1881140,71720,26326,7784,15197,8423,4847,4943,60
22248,38652,34407,12497,3609,3807,2427,3476,47
13510,29878,22917,20586,3985,8531,3833,2911,54
50918,21719,329,995,2146,3049,1636,766,57
43620,21524,9874,6894,4249,1593,2194,1737,57
87775,19458,12414,31994,20215,13654,9550,7085,57
126816,16266,3410,5747,9459,2541,1415,925,54
26006,16545,36376,2862,4039,5221,4233,3360,53
15774,34099,49981,23823,9796,5300,6336,2283,54
4328,27470,63930,11265,5491,9381,3129,3141,48
25642,36168,12000,9186,7696,8341,3507,6167,51
52943,14358,3780,2903,12255,7530,2300,875,63
96695,11497,468,3650,2383,3372,1216,503,75
11217,34286,3776,4378,10086,4085,2820,2260,75
9831,4808,12746,7654,2519,4123,3620,2402,77
2000,3883,494,4594,6627,5279,1950,3515,80
94475,75946,20260,23282,11749,6712,3839,3016,69
29562,43796,32117,26916,14311,5249,2347,1693,64
3313,26682,16135,3351,9375,6544,3545,3972,63
34619,32084,16219,8364,16487,8243,2550,2646,51
51722,13335,31553,15738,3786,8162,2578,2344,60
54898,9234,12339,4186,6295,7630,2207,1875,74
9853,21422,10263,2884,6936,4574,4624,2040,74
154390,88780,41794,16960,5372,4107,1650,2250,57
33355,27542,9929,13406,7485,11916,2464,1476,63
9471,5332,3487,1320,8078,4084,1851,1296,64
104546,28282,12656,6561,7452,3159,2652,1168,60
67756,39697,5957,4785,3411,2094,676,461,63
23966,6850,12678,4566,2845,6309,6010,3428,64
57454,26249,35053,2477,5462,7397,1382,2663,54
195059,76095,23998,10183,3721,8253,2374,3951,56
11262,20825,8862,9456,3702,5480,6294,4952,44
303758,234305,17273,4076,11867,5184,2149,1528,30
81402,41581,52805,18883,950,7761,983,1656,30
455053,47286,51942,12636,9048,2440,2918,3518,30
668610,377194,39511,10879,8979,7751,7287,9500,14
694211,140221,8620,6457,11571,20857,6491,6753,29
26213,24338,27756,7818,25412,7383,5934,4264,35
1577699,319900,77256,2966,16449,8992,4902,3372,35
339132,222743,24351,61309,11876,8703,2495,2794,38
129095,129454,9254,42056,8891,5564,2894,4136,24
81502,38786,101071,25131,10499,11291,3176,2902,20
14143,27370,10931,24275,10770,9886,5261,6196,35
376551,36453,29502,42360,7047,14231,4098,4589,47
45140,84138,15103,31462,8400,13661,10370,3680,57
412547,101134,45572,4176,17097,12197,5241,2715,57
103951,8534,16677,3704,7735,3201,2614,4146,56
105932,31966,3870,4474,1633,1374,1268,801,44
111484,16828,4302,4473,3382,1632,1009,1236,41
50232,25451,67732,16180,26468,8877,5978,3328,40
115774,146794,51240,19674,10092,7634,8041,2104,40
32395,18654,5084,4180,2311,2582,1156,1229,43
158895,152969,22986,25552,14718,5777,5216,3078,35
102156,250207,8166,8819,13905,5054,4148,5275,23
58543,12216,6581,6145,3254,1610,1807,1739,24
310758,176228,49957,37068,16865,15211,3801,5704,27
117697,38659,7424,4940,5416,2440,2428,1076,38
19481,75859,115395,9508,8590,3758,4146,2806,27
31753,13730,20865,3505,2432,6994,2023,2141,37
73251,14000,15065,4611,9230,8999,2737,1554,51
33571,28195,96778,13357,11014,10318,3209,2162,54
293559,13460,1632,5566,2149,2874,1655,897,70
231266,121912,56668,11532,27268,8812,7711,13299,60
76752,25025,4936,1653,2441,2432,1089,2018,50
1077494,53825,7643,10598,11486,3806,1442,1313,48
2203466,232094,43225,26350,30191,12593,5501,12964,37
130864,23561,5227,27785,20672,15600,5250,1909,51
444615,52437,21163,16772,8700,5093,5598,3343,50
575293,30337,2207,18307,3564,11097,12171,3732,60
65647,17468,8699,3702,6181,4445,2172,1012,70
142339,82846,19439,38726,3816,9528,4035,2501,56
462654,44227,45564,52441,4716,14833,6824,3204,50
237011,79774,33283,2460,1222,1939,1515,1087,34
18869,48096,18143,16488,18176,9728,4291,10304,41
4530,31227,65228,6821,7844,3787,2821,758,37
82289,38495,19416,11932,3194,9760,5892,2808,40
56795,325424,9950,4688,1393,5519,6852,3387,38
137655,86765,36858,12556,3660,11867,2291,3858,35
183576,11615,13053,5513,5405,4074,2988,3676,47
30521,68688,311,7704,1409,3468,3151,2970,37
72580,40327,2726,17855,7213,9115,2273,3770,54
139750,73139,39126,3704,9155,1467,4114,694,40
438150,89058,17994,20127,17238,4225,4630,2720,27
105239,64699,47284,21221,7167,7200,4863,5522,29
222533,55011,7137,4504,3798,2078,2131,401,16
86172,23850,49628,13314,6974,7680,9471,4548,35
76591,168787,15335,3501,6811,7702,3016,2563,40
609789,27025,56661,9024,6563,5755,3167,4045,44
81104,27131,7567,5809,3920,3428,985,422,44
132056,10454,5834,1891,1925,717,419,121,38
6136,23359,168324,6653,11138,6077,2307,1086,35
86755,66758,19412,36119,11821,5089,1990,1999,30
734478,73825,4300,1895,3520,5375,869,1571,29
1500003,77831,26909,9638,22403,15137,2491,1910,40
170839,99358,10665,19575,19542,7015,1760,2134,44
26728,171829,53018,2101,10067,13240,2907,1568,48
40987,9683,10758,2386,3508,2726,916,1274,51
247365,22404,56040,11151,9998,9942,10611,6848,50
58899,36088,9134,19872,17451,9536,6513,4409,57
150324,178730,45421,11332,35202,5513,3229,6662,51
34747,18112,12223,10972,11724,5718,3019,1764,53
48224,20041,72558,7543,8507,5267,2748,1954,47
23207,70144,40007,29996,10386,4298,3255,3626,34
38161,28648,15287,12912,3188,12862,1976,857,53
85727,47484,10564,21458,4564,9182,3458,3603,51
16291,32743,31212,4915,4871,4627,3884,1141,53
32493,36168,49520,2736,3102,6039,4348,2952,60
11704,31133,17173,11595,11547,4389,1448,989,51
64207,25176,21555,5464,5931,6454,5194,5915,51
98125,38959,6742,15881,6382,4288,2266,3043,51
31681,62796,9626,1184,3175,4656,2265,1369,51
43784,15472,102049,4837,6081,6861,2221,1914,50
61815,21192,71014,18564,9259,9343,9942,3321,47
30576,108319,98992,42628,13483,6114,4072,2148,37
166479,59144,32928,4947,9697,15726,9953,5864,44
93827,38189,3932,15934,5963,4727,7696,3366,48
349582,195178,24642,38169,4453,5761,2103,3381,37
1860447,83944,182912,7161,27083,5446,4711,2726,35
60193,43469,75553,2839,4690,10385,5381,679,27
57990,27666,23925,7189,7192,3112,4084,2820,24
11549,28077,25171,15825,9500,22834,2580,2464,48
37016,6084,5490,14951,30876,14058,5593,6072,77
375801,164113,47048,9152,13616,10153,2279,1456,69
15213,20521,1573,14623,2918,6526,4967,5284,80
236337,38313,6205,10850,2588,2492,2599,700,63
45153,25782,682,12622,6558,6867,2730,3152,69
109938,40465,17930,11288,13265,7702,4164,3488,66
895697,367679,105015,17936,11097,17734,7726,4830,64
614828,1393221,54570,46093,34651,21640,18709,5386,40
125163,38192,17538,7167,1776,2108,694,821,26
153199,11857,18157,6744,2576,2846,954,714,23
235584,113275,11263,21858,8222,7742,2107,3192,26
65266,17201,7144,21832,8702,6819,3945,2404,47
187212,87045,11607,22369,4765,14078,5635,2499,56
75285,255640,39638,24549,13053,9200,4898,2262,48
271634,65169,103773,20984,13921,7610,6141,5372,44
1557188,187238,45356,65798,54942,11793,5036,5329,34
313729,30438,12509,2804,3744,2241,616,294,26
81157,63120,45468,22475,20133,3913,3195,2725,26
418912,106452,11877,3691,1989,8938,1964,2311,30
39058,41146,32981,19076,8035,9161,2634,1191,40
78542,96905,46935,7048,5691,3993,2487,1084,35
137973,21709,109662,12025,2796,3123,3666,890,30
57202,31007,19436,9709,9982,8956,5288,2603,38
41810,26826,1933,9021,7863,869,1259,667,24
115804,54487,11978,6154,5001,6867,2151,2350,37
41380,46847,12339,27209,6895,19532,9093,3383,54
61596,69910,59148,24692,10841,12793,9450,9834,50
898800,161451,25076,14568,20943,3634,5397,3777,50
140300,109146,48344,17135,8420,8768,13058,3652,44
115918,25472,8068,17420,11577,2540,4307,1858,30
171687,128237,224308,8705,14312,23007,3190,3662,29
37186,52396,34206,15585,4752,5494,5823,4461,38
